TimeT,AccT,VelT,PosT
0,23.7420452380952,-0.00681935328701229,1.82238195804711e-06
3742,-1.77597476190477,0,0
3746,-1.77597476190477,0,0.1962925
3751,-1.77597476190477,0.9814625,-0.245365625
3755,2.14987523809523,0,0
3760,2.14987523809523,0,0
3764,2.14987523809523,0,-0.1962925
3769,2.14987523809523,-0.9814625,0.245365625
3773,-1.77597476190477,0,0
3778,-1.77597476190477,0,0
3782,-1.77597476190477,0,-0.0490735000000001
3787,-1.77597476190477,-0.2453675,0.0613418750000001
3791,-2.75744476190477,0,0
3796,-2.75744476190477,0,0
3800,-2.75744476190477,0,0
3805,-2.75744476190477,0,0.0490735000000001
3809,-2.75744476190477,0.196294,-0.0392588000000001
3814,-1.77597476190477,0,0
3818,-1.77597476190477,0,0
3823,-1.77597476190477,0,-0.0981465
3827,-1.77597476190477,-0.392586,0.0785172
3832,-3.73890476190477,0,0
3836,-3.73890476190477,0,0
3841,-3.73890476190477,0,-0.1472195
3845,-3.73890476190477,-0.588878,0.1177756
3850,-6.68329476190477,0,0
3854,-6.68329476190477,0,0
3859,-6.68329476190477,0,0
3863,-6.68329476190477,0,0.294439
3867,-6.68329476190477,1.177756,-0.2355512
3872,-0.794514761904768,0,0
3876,-0.794514761904768,0,0
3881,-0.794514761904768,0,-0.0981465
3885,-0.794514761904768,-0.392586,0.0785172
3890,-2.75744476190477,0,0
3894,-2.75744476190477,0,0
3899,-2.75744476190477,0,0
3903,-2.75744476190477,0,0
3908,-2.75744476190477,0,0
3912,-2.75744476190477,0,0
3917,-2.75744476190477,0,0
3921,-2.75744476190477,0,0.0490735000000001
3926,-2.75744476190477,0.2453675,-0.0613418750000001
3930,-1.77597476190477,0,0
3935,-1.77597476190477,0,0
3939,-1.77597476190477,0,-0.0490735000000001
3944,-1.77597476190477,-0.2453675,0.0613418750000001
3948,-2.75744476190477,0,0
3953,-2.75744476190477,0,0
3957,-2.75744476190477,0,0
3962,-2.75744476190477,0,0.0490735000000001
3966,-2.75744476190477,0.196294,-0.0392588000000001
3971,-1.77597476190477,0,0
3975,-1.77597476190477,0,0
3980,-1.77597476190477,0,-0.0490735000000001
3984,-1.77597476190477,-0.196294,0.0392588000000001
3989,-2.75744476190477,0,0
3993,-2.75744476190477,0,0
3998,-2.75744476190477,0,0
4002,-2.75744476190477,0,0.245366
4007,-2.75744476190477,1.22683,-0.3067075
4011,2.14987523809523,0,0
4015,2.14987523809523,0,0
4020,2.14987523809523,0,0
4024,2.14987523809523,0,0
4029,2.14987523809523,0,0
4033,2.14987523809523,0,0
4038,2.14987523809523,0,-0.1472195
4042,2.14987523809523,-0.588878,0.1177756
4047,-0.794514761904768,0,0
4051,-0.794514761904768,0,0
