TimeT,AccT,VelT,PosT
0,-15.7501361904762,0.00130861555555556,-2.90803456790123e-07
4500,-9.86136619047619,0,0
4504,-9.86136619047619,0,0
4509,-9.86136619047619,0,0.0981465
4513,-9.86136619047619,0.392586,-0.0785172
4518,-7.89843619047619,0,0
4522,-7.89843619047619,0,0
4527,-7.89843619047619,0,0
4531,-7.89843619047619,0,-0.0490730000000001
4536,-7.89843619047619,-0.245365,0.0613412500000001
4540,-8.87989619047619,0,0
4545,-8.87989619047619,0,0
4549,-8.87989619047619,0,0.2453655
4554,-8.87989619047619,1.2268275,-0.306706875
4558,-3.97258619047619,0,0
4563,-3.97258619047619,0,0
4567,-3.97258619047619,0,0
4572,-3.97258619047619,0,-0.0981465
4576,-3.97258619047619,-0.392586,0.0785172
4581,-5.93551619047619,0,0
4585,-5.93551619047619,0,0
4590,-5.93551619047619,0,0.294439
4594,-5.93551619047619,1.177756,-0.2355512
4599,-0.0467361904761905,0,0
4603,-0.0467361904761905,0,0
4608,-0.0467361904761905,0,0
4612,-0.0467361904761905,0,-0.392585
4617,-0.0467361904761905,-1.962925,0.49073125
4621,-7.89843619047619,0,0
4626,-7.89843619047619,0,0
4630,-7.89843619047619,0,0.1472195
4634,-7.89843619047619,0.588878,-0.1177756
4639,-4.95404619047619,0,0
4643,-4.95404619047619,0,0
4648,-4.95404619047619,0,0
4652,-4.95404619047619,0,-0.0981465
4657,-4.95404619047619,-0.4907325,0.122683125
4661,-6.91697619047619,0,0
4666,-6.91697619047619,0,0
4670,-6.91697619047619,0,0.1472195
4675,-6.91697619047619,0.7360975,-0.184024375
4679,-3.97258619047619,0,0
4684,-3.97258619047619,0,0
4688,-3.97258619047619,0,0
4693,-3.97258619047619,0,0.1472195
4697,-3.97258619047619,0.588878,-0.1177756
4702,-1.02819619047619,0,0
4706,-1.02819619047619,0,0
4711,-1.02819619047619,0,-0.0981465
4715,-1.02819619047619,-0.392586,0.0785172
4720,-2.99112619047619,0,0
4724,-2.99112619047619,0,0
4729,-2.99112619047619,0,0
4733,-2.99112619047619,0,0.4907315
4738,-2.99112619047619,2.4536575,-0.613414375
4742,6.82350380952381,0,0
4747,6.82350380952381,0,0
4751,6.82350380952381,0,-0.1962925
4756,6.82350380952381,-0.9814625,0.245365625
4760,2.89765380952381,0,0
4765,2.89765380952381,0,0
4769,2.89765380952381,0,0
4773,2.89765380952381,0,-0.1472195
4778,2.89765380952381,-0.7360975,0.184024375
4782,-0.0467361904761905,0,0
4787,-0.0467361904761905,0,0
4791,-0.0467361904761905,0,-0.049073
4796,-0.0467361904761905,-0.245365,0.06134125
4800,-1.02819619047619,0,0
4805,-1.02819619047619,0,0
4809,-1.02819619047619,0,0
4814,-1.02819619047619,0,-0.0981465
4818,-1.02819619047619,-0.392586,0.0785172
4823,-2.99112619047619,0,0
4827,-2.99112619047619,0,0
4832,-2.99112619047619,0,0.1962925
4836,-2.99112619047619,0.78517,-0.157034
4841,0.93472380952381,0,0
4845,0.93472380952381,0,0
4850,0.93472380952381,0,0
4854,0.93472380952381,0,0.343512
4859,0.93472380952381,1.71756,-0.42939
4863,7.80496380952381,0,0
4868,7.80496380952381,0,0
4872,7.80496380952381,0,0.0490730000000001
4877,7.80496380952381,0.245365,-0.0613412500000001
4881,8.78642380952381,0,0
4886,8.78642380952381,0,0
4890,8.78642380952381,0,0
4895,8.78642380952381,0,-0.098146
4899,8.78642380952381,-0.392584,0.0785168
4904,6.82350380952381,0,0
4908,6.82350380952381,0,0
4912,6.82350380952381,0,-0.245366
4917,6.82350380952381,-1.22683,0.3067075
4921,1.91618380952381,0,0
4926,1.91618380952381,0,0
4930,1.91618380952381,0,0
4935,1.91618380952381,0,-0.490731
4939,1.91618380952381,-1.962924,0.3925848
4944,-7.89843619047619,0,0
4948,-7.89843619047619,0,0
4953,-7.89843619047619,0,-0.0490730000000001
4957,-7.89843619047619,-0.196292,0.0392584
4962,-8.87989619047619,0,0
4966,-8.87989619047619,0,0
4971,-8.87989619047619,0,0
4975,-8.87989619047619,0,0.2944385
4980,-8.87989619047619,1.4721925,-0.368048125
4984,-2.99112619047619,0,0
4989,-2.99112619047619,0,0
4993,-2.99112619047619,0,0.1472195
4998,-2.99112619047619,0.7360975,-0.184024375
5002,-0.0467361904761905,0,0
5007,-0.0467361904761905,0,0
5011,-0.0467361904761905,0,0
5016,-0.0467361904761905,0,0.049073
5020,-0.0467361904761905,0.196292,-0.0392584
5025,0.93472380952381,0,0
5029,0.93472380952381,0,0
5034,0.93472380952381,0,0
5038,0.93472380952381,0,0
5043,0.93472380952381,0,0
5047,0.93472380952381,0,0
5051,0.93472380952381,0,0
5056,0.93472380952381,0,-0.2453655
5060,0.93472380952381,-0.981462,0.1962924
5065,-3.97258619047619,0,0
5069,-3.97258619047619,0,0
5074,-3.97258619047619,0,-0.0981465
5078,-3.97258619047619,-0.392586,0.0785172
5083,-5.93551619047619,0,0
5087,-5.93551619047619,0,0
5092,-5.93551619047619,0,0
5096,-5.93551619047619,0,0.1962925
5101,-5.93551619047619,0.9814625,-0.245365625
5105,-2.00966619047619,0,0
5110,-2.00966619047619,0,0
5114,-2.00966619047619,0,-0.098146
5119,-2.00966619047619,-0.49073,0.1226825
5123,-3.97258619047619,0,0
5128,-3.97258619047619,0,0
5132,-3.97258619047619,0,0
5137,-3.97258619047619,0,-0.1472195
5141,-3.97258619047619,-0.588878,0.1177756
5146,-6.91697619047619,0,0
5150,-6.91697619047619,0,0
5155,-6.91697619047619,0,0.1962925
5159,-6.91697619047619,0.78517,-0.157034
5164,-2.99112619047619,0,0
5168,-2.99112619047619,0,0
5173,-2.99112619047619,0,0
5177,-2.99112619047619,0,0.2453655
5182,-2.99112619047619,1.2268275,-0.306706875
5186,1.91618380952381,0,0
5191,1.91618380952381,0,0
5195,1.91618380952381,0,0
5199,1.91618380952381,0,0
5204,1.91618380952381,0,0
5208,1.91618380952381,0,0
5213,1.91618380952381,0,0
5217,1.91618380952381,0,-0.6870235
5222,1.91618380952381,-3.4351175,0.858779375
5226,-11.8242861904762,0,0
5231,-11.8242861904762,0,0
5235,-11.8242861904762,0,0.1472195
5240,-11.8242861904762,0.7360975,-0.184024375
5244,-8.87989619047619,0,0
5249,-8.87989619047619,0,0
5253,-8.87989619047619,0,0
5258,-8.87989619047619,0,0.6870235
5262,-8.87989619047619,2.748094,-0.5496188
5267,4.86057380952381,0,0
5271,4.86057380952381,0,0
5276,4.86057380952381,0,0
5280,4.86057380952381,0,0
5285,4.86057380952381,0,0
5289,4.86057380952381,0,0
5294,4.86057380952381,0,0
5298,4.86057380952381,0,-0.392585
5303,4.86057380952381,-1.962925,0.49073125
5307,-2.99112619047619,0,0
5312,-2.99112619047619,0,0
5316,-2.99112619047619,0,0.0981465
5321,-2.99112619047619,0.4907325,-0.122683125
5325,-1.02819619047619,0,0
5330,-1.02819619047619,0,0
5334,-1.02819619047619,0,0
5338,-1.02819619047619,0,-0.0490735
5343,-1.02819619047619,-0.2453675,0.061341875
5347,-2.00966619047619,0,0
5352,-2.00966619047619,0,0
5356,-2.00966619047619,0,-0.1962925
5361,-2.00966619047619,-0.9814625,0.245365625
5365,-5.93551619047619,0,0
5370,-5.93551619047619,0,0
5374,-5.93551619047619,0,0
5379,-5.93551619047619,0,-0.098146
5383,-5.93551619047619,-0.392584,0.0785168
5388,-7.89843619047619,0,0
5392,-7.89843619047619,0,0
5397,-7.89843619047619,0,0.1472195
5401,-7.89843619047619,0.588878,-0.1177756
5406,-4.95404619047619,0,0
5410,-4.95404619047619,0,0
5415,-4.95404619047619,0,0
5419,-4.95404619047619,0,0.098146
5424,-4.95404619047619,0.49073,-0.1226825
5428,-2.99112619047619,0,0
5433,-2.99112619047619,0,0
5437,-2.99112619047619,0,0.0981465
5442,-2.99112619047619,0.4907325,-0.122683125
5446,-1.02819619047619,0,0
5451,-1.02819619047619,0,0
5455,-1.02819619047619,0,0
5460,-1.02819619047619,0,0.049073
5464,-1.02819619047619,0.196292,-0.0392584
5469,-0.0467361904761905,0,0
5473,-0.0467361904761905,0,0
5477,-0.0467361904761905,0,-0.0981465
5482,-0.0467361904761905,-0.4907325,0.122683125
5486,-2.00966619047619,0,0
5491,-2.00966619047619,0,0
5495,-2.00966619047619,0,0
5500,-2.00966619047619,0,0.0490735
5504,-2.00966619047619,0.196294,-0.0392588
5509,-1.02819619047619,0,0
5513,-1.02819619047619,0,0
5518,-1.02819619047619,0,-0.0490735
5522,-1.02819619047619,-0.196294,0.0392588
5527,-2.00966619047619,0,0
5531,-2.00966619047619,0,0
5536,-2.00966619047619,0,0
5540,-2.00966619047619,0,0
5545,-2.00966619047619,0,0
5549,-2.00966619047619,0,0
5554,-2.00966619047619,0,0
5558,-2.00966619047619,0,0
5563,-2.00966619047619,0,0
5567,-2.00966619047619,0,0
5572,-2.00966619047619,0,0
5576,-2.00966619047619,0,0
5581,-2.00966619047619,0,0.1472195
5585,-2.00966619047619,0.588878,-0.1177756
5590,0.93472380952381,0,0
5594,0.93472380952381,0,0
5599,0.93472380952381,0,-0.049073
5603,0.93472380952381,-0.196292,0.0392584
5608,-0.0467361904761905,0,0
5612,-0.0467361904761905,0,0
5617,-0.0467361904761905,0,0
5621,-0.0467361904761905,0,-0.0981465
5625,-0.0467361904761905,-0.392586,0.0785172
5630,-2.00966619047619,0,0
5634,-2.00966619047619,0,0
5639,-2.00966619047619,0,0.0981465
5643,-2.00966619047619,0.392586,-0.0785172
5648,-0.0467361904761905,0,0
5652,-0.0467361904761905,0,0
5657,-0.0467361904761905,0,0
5661,-0.0467361904761905,0,0.1962925
5666,-0.0467361904761905,0.9814625,-0.245365625
5670,3.87911380952381,0,0
5675,3.87911380952381,0,0
5679,3.87911380952381,0,0
5684,3.87911380952381,0,0
5688,3.87911380952381,0,0
