TimeT,AccT,VelT,PosT
0,-16.825070952381,0.000508149341310476,-4.5198075668257e-05
17383,-7.99191095238095,-0.78517,0.157034
17388,-11.917760952381,0,0
17392,-11.917760952381,0,0
17397,-11.917760952381,0,0.1472195
17401,-11.917760952381,0.588878,-0.1177756
17406,-8.97337095238095,0,0
17410,-8.97337095238095,0,0
17415,-8.97337095238095,0,0
17419,-8.97337095238095,0,0.2453655
17424,-8.97337095238095,1.2268275,-0.306706875
17428,-4.06606095238095,0,0
17433,-4.06606095238095,0,0
17437,-4.06606095238095,0,-0.098146
17442,-4.06606095238095,-0.49073,0.1226825
17446,-6.02898095238095,0,0
17451,-6.02898095238095,0,0
17455,-6.02898095238095,0,0
17460,-6.02898095238095,0,0.7360965
17464,-6.02898095238095,2.944386,-0.5888772
17469,8.69294904761905,0,0
17473,8.69294904761905,0,0
17478,8.69294904761905,0,0.1962925
17482,8.69294904761905,0.78517,-0.157034
17487,12.618799047619,0,0
17491,12.618799047619,0,0
17496,12.618799047619,0,0
17500,12.618799047619,0,-0.441658
17505,12.618799047619,-2.20829,0.5520725
17509,3.78563904761905,0,0
17513,3.78563904761905,0,0
17518,3.78563904761905,0,-0.0490730000000001
17522,3.78563904761905,-0.196292,0.0392584000000001
17527,2.80417904761905,0,0
17531,2.80417904761905,0,0
17536,2.80417904761905,0,0
17540,2.80417904761905,0,0.2944385
17545,2.80417904761905,1.4721925,-0.368048125
17549,8.69294904761905,0,0
17554,8.69294904761905,0,0
17558,8.69294904761905,0,-0.539804
17563,8.69294904761905,-2.69902,0.674755
17567,-2.10313095238095,0,0
17572,-2.10313095238095,0,0
17576,-2.10313095238095,0,0
17581,-2.10313095238095,0,0.049073
17585,-2.10313095238095,0.196292,-0.0392584
17590,-1.12167095238095,0,0
17594,-1.12167095238095,0,0
17599,-1.12167095238095,0,0.049073
17603,-1.12167095238095,0.196292,-0.0392584
17608,-0.140210952380951,0,0
17612,-0.140210952380951,0,0
17617,-0.140210952380951,0,0
17621,-0.140210952380951,0,-0.5398045
17626,-0.140210952380951,-2.6990225,0.674755625
17630,-10.936300952381,0,0
17635,-10.936300952381,0,0
17639,-10.936300952381,0,0.0981465
17644,-10.936300952381,0.4907325,-0.122683125
17648,-8.97337095238095,0,0
17652,-8.97337095238095,0,0
17657,-8.97337095238095,0,0
17661,-8.97337095238095,0,-0.0981465
17666,-8.97337095238095,-0.4907325,0.122683125
17670,-10.936300952381,0,0
17675,-10.936300952381,0,0
17679,-10.936300952381,0,-0.0490730000000001
17684,-10.936300952381,-0.245365,0.0613412500000001
17688,-11.917760952381,0,0
17693,-11.917760952381,0,0
17697,-11.917760952381,0,0
17702,-11.917760952381,0,0.2453655
17706,-11.917760952381,0.981462,-0.1962924
17711,-7.01045095238095,0,0
17715,-7.01045095238095,0,0
17720,-7.01045095238095,0,-0.049073
17724,-7.01045095238095,-0.196292,0.0392584
17729,-7.99191095238095,0,0
17733,-7.99191095238095,0,0
17738,-7.99191095238095,0,0
17742,-7.99191095238095,0,0.2453655
17747,-7.99191095238095,1.2268275,-0.306706875
17751,-3.08460095238095,0,0
17756,-3.08460095238095,0,0
17760,-3.08460095238095,0,0.245366
17765,-3.08460095238095,1.22683,-0.3067075
17769,1.82271904761905,0,0
17774,1.82271904761905,0,0
17778,1.82271904761905,0,0
17783,1.82271904761905,0,-0.1472195
17787,1.82271904761905,-0.588878,0.1177756
17792,-1.12167095238095,0,0
17796,-1.12167095238095,0,0
17800,-1.12167095238095,0,0
17805,-1.12167095238095,0,0
17809,-1.12167095238095,0,0
17814,-1.12167095238095,0,0
17818,-1.12167095238095,0,0
17823,-1.12167095238095,0,0
17827,-1.12167095238095,0,0
17832,-1.12167095238095,0,0
17836,-1.12167095238095,0,0
17841,-1.12167095238095,0,0.049073
17845,-1.12167095238095,0.196292,-0.0392584
17850,-0.140210952380951,0,0
17854,-0.140210952380951,0,0
17859,-0.140210952380951,0,0
17863,-0.140210952380951,0,-0.098146
17868,-0.140210952380951,-0.49073,0.1226825
17872,-2.10313095238095,0,0
17877,-2.10313095238095,0,0
17881,-2.10313095238095,0,0
17886,-2.10313095238095,0,0
17890,-2.10313095238095,0,0
17895,-2.10313095238095,0,0
17899,-2.10313095238095,0,0
17904,-2.10313095238095,0,0.098146
17908,-2.10313095238095,0.392584,-0.0785168
17913,-0.140210952380951,0,0
17917,-0.140210952380951,0,0
17922,-0.140210952380951,0,0.0981465
17926,-0.140210952380951,0.392586,-0.0785172
17931,1.82271904761905,0,0
17935,1.82271904761905,0,0
17940,1.82271904761905,0,0
17944,1.82271904761905,0,-0.1962925
17948,1.82271904761905,-0.78517,0.157034
17953,-2.10313095238095,0,0
17957,-2.10313095238095,0,0
17962,-2.10313095238095,0,0.098146
17966,-2.10313095238095,0.392584,-0.0785168
17971,-0.140210952380951,0,0
17975,-0.140210952380951,0,0
17980,-0.140210952380951,0,0
17984,-0.140210952380951,0,0.2453655
17989,-0.140210952380951,1.2268275,-0.306706875
17993,4.76709904761905,0,0
17998,4.76709904761905,0,0
18002,4.76709904761905,0,-0.441658
18007,4.76709904761905,-2.20829,0.5520725
18011,-4.06606095238095,0,0
18016,-4.06606095238095,0,0
18020,-4.06606095238095,0,0
18025,-4.06606095238095,0,-0.2453655
18029,-4.06606095238095,-0.981462,0.1962924
18034,-8.97337095238095,0,0
18038,-8.97337095238095,0,0
18043,-8.97337095238095,0,0.0490729999999999
18047,-8.97337095238095,0.196292,-0.0392583999999999
18052,-7.99191095238095,0,0
18056,-7.99191095238095,0,0
18061,-7.99191095238095,0,0
18065,-7.99191095238095,0,0.1472195
18070,-7.99191095238095,0.7360975,-0.184024375
18074,-5.04752095238095,0,0
18079,-5.04752095238095,0,0
18083,-5.04752095238095,0,0.2453655
18087,-5.04752095238095,0.981462,-0.1962924
18092,-0.140210952380951,0,0
18096,-0.140210952380951,0,0
18101,-0.140210952380951,0,0
18105,-0.140210952380951,0,0.1472195
18110,-0.140210952380951,0.7360975,-0.184024375
18114,2.80417904761905,0,0
18119,2.80417904761905,0,0
18123,2.80417904761905,0,0.1962925
18128,2.80417904761905,0.9814625,-0.245365625
18132,6.73002904761905,0,0
18137,6.73002904761905,0,0
18141,6.73002904761905,0,0
18146,6.73002904761905,0,-0.1472195
18150,6.73002904761905,-0.588878,0.1177756
