TimeT,AccT
6.696,-54.8216833333333
6.7,-54.8216833333333
6.705,-52.8587633333333
6.709,-52.8587633333333
6.714,-52.8587633333333
6.718,-52.8587633333333
6.723,-51.8773033333333
6.727,-51.8773033333333
6.732,-51.8773033333333
6.736,-51.8773033333333
6.741,-51.8773033333333
6.745,-51.8773033333333
6.75,-51.8773033333333
6.754,-51.8773033333333
6.758,-51.8773033333333
6.763,-52.8587633333333
6.767,-52.8587633333333
6.772,-52.8587633333333
6.776,-52.8587633333333
6.781,-52.8587633333333
6.785,-52.8587633333333
6.79,-52.8587633333333
6.794,-52.8587633333333
6.799,-52.8587633333333
6.803,-53.8402233333333
6.808,-53.8402233333333
6.812,-53.8402233333333
6.817,-53.8402233333333
6.821,-52.8587633333333
6.826,-52.8587633333333
6.83,-52.8587633333333
6.835,-52.8587633333333
6.839,-52.8587633333333
6.844,-48.9329133333333
6.848,-48.9329133333333
6.853,-48.9329133333333
6.857,-48.9329133333333
6.862,-52.8587633333333
6.866,-52.8587633333333
6.871,-52.8587633333333
6.875,-52.8587633333333
6.88,-57.7660733333333
6.884,-57.7660733333333
6.889,-57.7660733333333
6.893,-57.7660733333333
6.898,-57.7660733333333
6.902,-57.7660733333333
6.907,-57.7660733333333
6.911,-57.7660733333333
6.916,-57.7660733333333
6.92,-54.8216833333333
6.925,-54.8216833333333
6.929,-54.8216833333333
6.934,-54.8216833333333
6.938,-54.8216833333333
6.942,-57.7660733333333
6.947,-57.7660733333333
6.951,-57.7660733333333
6.956,-57.7660733333333
6.96,-56.7846133333333
6.965,-56.7846133333333
6.969,-56.7846133333333
6.974,-56.7846133333333
6.978,-58.7475333333333
6.983,-58.7475333333333
6.987,-58.7475333333333
6.992,-58.7475333333333
6.996,-58.7475333333333
7.001,-58.7475333333333
7.005,-58.7475333333333
7.01,-58.7475333333333
7.014,-58.7475333333333
7.019,-57.7660733333333
7.023,-57.7660733333333
7.028,-57.7660733333333
7.032,-57.7660733333333
7.037,-57.7660733333333
7.041,-56.7846133333333
7.046,-56.7846133333333
7.05,-56.7846133333333
7.055,-56.7846133333333
7.059,-57.7660733333333
7.064,-57.7660733333333
7.068,-57.7660733333333
7.073,-57.7660733333333
7.077,-53.8402233333333
7.082,-53.8402233333333
7.086,-53.8402233333333
7.091,-53.8402233333333
7.095,-53.8402233333333
7.1,-52.8587633333333
7.104,-52.8587633333333
7.109,-52.8587633333333
7.113,-52.8587633333333
7.118,-55.8031533333333
7.122,-55.8031533333333
7.127,-55.8031533333333
7.131,-55.8031533333333
7.135,-55.8031533333333
7.14,-52.8587633333333
7.144,-52.8587633333333
7.149,-52.8587633333333
7.153,-52.8587633333333
7.158,-52.8587633333333
7.162,-52.8587633333333
7.167,-52.8587633333333
7.171,-52.8587633333333
7.176,-53.8402233333333
7.18,-53.8402233333333
7.185,-53.8402233333333
7.189,-53.8402233333333
7.194,-53.8402233333333
7.198,-55.8031533333333
7.203,-55.8031533333333
7.207,-55.8031533333333
7.212,-55.8031533333333
7.216,-56.7846133333333
7.221,-56.7846133333333
7.225,-56.7846133333333
7.23,-56.7846133333333
7.234,-56.7846133333333
7.239,-53.8402233333333
7.243,-53.8402233333333
7.248,-53.8402233333333
7.252,-53.8402233333333
7.257,-52.8587633333333
7.261,-52.8587633333333
7.266,-52.8587633333333
7.27,-52.8587633333333
7.275,-58.7475333333333
7.279,-58.7475333333333
7.284,-58.7475333333333
7.288,-58.7475333333333
7.293,-58.7475333333333
7.297,-53.8402233333333
7.302,-53.8402233333333
7.306,-53.8402233333333
7.311,-53.8402233333333
7.315,-57.7660733333333
7.319,-57.7660733333333
7.324,-57.7660733333333
7.328,-57.7660733333333
7.333,-57.7660733333333
7.337,-57.7660733333333
7.342,-57.7660733333333
7.346,-57.7660733333333
7.351,-57.7660733333333
7.355,-55.8031533333333
7.36,-55.8031533333333
7.364,-55.8031533333333
7.369,-55.8031533333333
7.373,-55.8031533333333
7.378,-50.8958333333333
7.382,-50.8958333333333
7.387,-50.8958333333333
7.391,-50.8958333333333
7.396,-49.9143733333333
7.4,-49.9143733333333
7.405,-49.9143733333333
7.409,-49.9143733333333
